"flightNumber","departureDate","requestDate","origin","destination","pmin"
"LX316",2016-06-20,2016-06-01,"ZRH","LHR",175.92
"LX316",2016-06-20,2016-06-02,"ZRH","LHR",179.27
"LX316",2016-06-20,2016-06-03,"ZRH","LHR",208.4
"LX316",2016-06-20,2016-06-04,"ZRH","LHR",208.4
"LX316",2016-06-20,2016-06-05,"ZRH","LHR",208.4
"LX316",2016-06-20,2016-06-06,"ZRH","LHR",175.92
"LX316",2016-06-20,2016-06-07,"ZRH","LHR",208.4
"LX316",2016-06-20,2016-06-08,"ZRH","LHR",208.4
"LX316",2016-06-20,2016-06-09,"ZRH","LHR",208.9
"LX316",2016-06-20,2016-06-10,"ZRH","LHR",237.4
"LX316",2016-06-20,2016-06-11,"ZRH","LHR",208.4
"LX316",2016-06-20,2016-06-12,"ZRH","LHR",208.4
"LX316",2016-06-20,2016-06-13,"ZRH","LHR",208.4
"LX316",2016-06-20,2016-06-14,"ZRH","LHR",208.4
"LX316",2016-06-20,2016-06-15,"ZRH","LHR",237.4
"LX316",2016-06-20,2016-06-16,"ZRH","LHR",237.4
"LX316",2016-06-20,2016-06-17,"ZRH","LHR",256.71
"LX316",2016-06-20,2016-06-18,"ZRH","LHR",263.3
"LX316",2016-06-20,2016-06-19,"ZRH","LHR",256.71
"LX316",2016-06-21,2016-05-31,"ZRH","LHR",152.28
"LX316",2016-06-21,2016-06-01,"ZRH","LHR",152.28
"LX316",2016-06-21,2016-06-02,"ZRH","LHR",152.28
"LX316",2016-06-21,2016-06-03,"ZRH","LHR",152.28
"LX316",2016-06-21,2016-06-04,"ZRH","LHR",152.28
"LX316",2016-06-21,2016-06-05,"ZRH","LHR",152.28
"LX316",2016-06-21,2016-06-06,"ZRH","LHR",152.28
"LX316",2016-06-21,2016-06-07,"ZRH","LHR",175.52
"LX316",2016-06-21,2016-06-08,"ZRH","LHR",175.52
"LX316",2016-06-21,2016-06-09,"ZRH","LHR",175.52
"LX316",2016-06-21,2016-06-10,"ZRH","LHR",175.52
"LX316",2016-06-21,2016-06-11,"ZRH","LHR",175.52
"LX316",2016-06-21,2016-06-12,"ZRH","LHR",175.52
"LX316",2016-06-21,2016-06-13,"ZRH","LHR",175.52
"LX316",2016-06-21,2016-06-14,"ZRH","LHR",175.52
"LX316",2016-06-21,2016-06-15,"ZRH","LHR",196.92
"LX316",2016-06-21,2016-06-16,"ZRH","LHR",208.4
"LX316",2016-06-21,2016-06-17,"ZRH","LHR",208.4
"LX316",2016-06-21,2016-06-18,"ZRH","LHR",215.62
"LX316",2016-06-21,2016-06-19,"ZRH","LHR",247.39
"LX316",2016-06-21,2016-06-20,"ZRH","LHR",256.71
