"flightNumber","departureDate","requestDate","origin","destination","pmin"
"LX316",2016-06-04,2016-05-26,"ZRH","LHR",208.9
"LX316",2016-06-04,2016-05-27,"ZRH","LHR",208.9
"LX316",2016-06-04,2016-05-28,"ZRH","LHR",175.92
"LX316",2016-06-04,2016-05-29,"ZRH","LHR",208.87
"LX316",2016-06-04,2016-05-30,"ZRH","LHR",208.9
"LX316",2016-06-04,2016-05-31,"ZRH","LHR",237.4
"LX316",2016-06-04,2016-06-01,"ZRH","LHR",208.9
"LX316",2016-06-04,2016-06-02,"ZRH","LHR",237.4
"LX316",2016-06-04,2016-06-03,"ZRH","LHR",256.71
"LX316",2016-06-05,2016-05-15,"ZRH","LHR",237.98
"LX316",2016-06-05,2016-05-16,"ZRH","LHR",237.98
"LX316",2016-06-05,2016-05-17,"ZRH","LHR",237.98
"LX316",2016-06-05,2016-05-18,"ZRH","LHR",237.98
"LX316",2016-06-05,2016-05-19,"ZRH","LHR",237.98
"LX316",2016-06-05,2016-05-20,"ZRH","LHR",237.98
"LX316",2016-06-05,2016-05-21,"ZRH","LHR",237.98
"LX316",2016-06-05,2016-05-22,"ZRH","LHR",237.98
"LX316",2016-06-05,2016-05-23,"ZRH","LHR",237.98
"LX316",2016-06-05,2016-05-24,"ZRH","LHR",237.98
"LX316",2016-06-05,2016-05-25,"ZRH","LHR",257.36
"LX316",2016-06-05,2016-05-26,"ZRH","LHR",257.36
"LX316",2016-06-05,2016-05-27,"ZRH","LHR",257.36
"LX316",2016-06-05,2016-05-28,"ZRH","LHR",257.36
"LX316",2016-06-05,2016-05-29,"ZRH","LHR",237.98
"LX316",2016-06-05,2016-05-30,"ZRH","LHR",237.98
"LX316",2016-06-05,2016-05-31,"ZRH","LHR",243.3
"LX316",2016-06-05,2016-06-01,"ZRH","LHR",256.71
"LX316",2016-06-05,2016-06-02,"ZRH","LHR",237.4
"LX316",2016-06-05,2016-06-03,"ZRH","LHR",304.01
"LX316",2016-06-05,2016-06-04,"ZRH","LHR",372.07
"LX316",2016-06-06,2016-05-16,"ZRH","LHR",175.92
"LX316",2016-06-06,2016-05-17,"ZRH","LHR",175.92
"LX316",2016-06-06,2016-05-18,"ZRH","LHR",175.92
"LX316",2016-06-06,2016-05-19,"ZRH","LHR",208.9
"LX316",2016-06-06,2016-05-20,"ZRH","LHR",208.9
"LX316",2016-06-06,2016-05-21,"ZRH","LHR",208.9
"LX316",2016-06-06,2016-05-22,"ZRH","LHR",175.92
"LX316",2016-06-06,2016-05-23,"ZRH","LHR",175.92
"LX316",2016-06-06,2016-05-24,"ZRH","LHR",175.92
"LX316",2016-06-06,2016-05-25,"ZRH","LHR",175.92
"LX316",2016-06-06,2016-05-26,"ZRH","LHR",175.92
"LX316",2016-06-06,2016-05-27,"ZRH","LHR",195
"LX316",2016-06-06,2016-05-28,"ZRH","LHR",208.9
"LX316",2016-06-06,2016-05-29,"ZRH","LHR",208.9
"LX316",2016-06-06,2016-05-30,"ZRH","LHR",208.9
"LX316",2016-06-06,2016-05-31,"ZRH","LHR",237.4
"LX316",2016-06-06,2016-06-01,"ZRH","LHR",237.4
"LX316",2016-06-06,2016-06-02,"ZRH","LHR",256.71
"LX316",2016-06-06,2016-06-03,"ZRH","LHR",304.01
"LX316",2016-06-06,2016-06-04,"ZRH","LHR",641.57
"LX316",2016-06-06,2016-06-05,"ZRH","LHR",311.1
"LX316",2016-06-07,2016-05-17,"ZRH","LHR",152.63
"LX316",2016-06-07,2016-05-18,"ZRH","LHR",152.63
"LX316",2016-06-07,2016-05-19,"ZRH","LHR",152.63
"LX316",2016-06-07,2016-05-20,"ZRH","LHR",152.63
"LX316",2016-06-07,2016-05-21,"ZRH","LHR",152.63
