"flightNumber","departureDate","requestDate","origin","destination","pmin"
"LX316",2016-05-31,2016-05-10,"ZRH","LHR",208.9
"LX316",2016-05-31,2016-05-11,"ZRH","LHR",208.9
"LX316",2016-05-31,2016-05-12,"ZRH","LHR",206.19
"LX316",2016-05-31,2016-05-13,"ZRH","LHR",208.9
"LX316",2016-05-31,2016-05-14,"ZRH","LHR",208.9
"LX316",2016-05-31,2016-05-15,"ZRH","LHR",208.9
"LX316",2016-05-31,2016-05-16,"ZRH","LHR",208.9
"LX316",2016-05-31,2016-05-17,"ZRH","LHR",208.9
"LX316",2016-05-31,2016-05-18,"ZRH","LHR",208.9
"LX316",2016-05-31,2016-05-19,"ZRH","LHR",208.9
"LX316",2016-05-31,2016-05-20,"ZRH","LHR",208.9
"LX316",2016-05-31,2016-05-21,"ZRH","LHR",208.9
"LX316",2016-05-31,2016-05-22,"ZRH","LHR",208.9
"LX316",2016-05-31,2016-05-23,"ZRH","LHR",175.92
"LX316",2016-05-31,2016-05-24,"ZRH","LHR",208.9
"LX316",2016-05-31,2016-05-25,"ZRH","LHR",208.9
"LX316",2016-05-31,2016-05-26,"ZRH","LHR",208.9
"LX316",2016-05-31,2016-05-27,"ZRH","LHR",237.98
"LX316",2016-05-31,2016-05-28,"ZRH","LHR",257.36
"LX316",2016-05-31,2016-05-29,"ZRH","LHR",257.36
"LX316",2016-05-31,2016-05-30,"ZRH","LHR",257.36
